,Number of Insured,Number of Uninsured,State,Race,RACECAT,IPRCAT,Income Poverty Ratio,Age Range,AGECAT,Sex,SEXCAT,Year,state
0,3437796,460936,Alabama,All Races,0,0,All Incomes,Under 65 years,0,Both Sexes,0,2020,01
1,1072256,252012,Alabama,All Races,0,1,<= 200% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
2,1359263,300943,Alabama,All Races,0,2,<= 250% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
3,702828,176230,Alabama,All Races,0,3,<= 138% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
4,2140860,392185,Alabama,All Races,0,4,<= 400% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
5,1438032,215955,Alabama,All Races,0,5,138% to 400% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
6,1657894,253092,Alabama,All Races,0,0,All Incomes,Under 65 years,0,Male Only,1,2020,01
7,479323,128499,Alabama,All Races,0,1,<= 200% of Poverty,Under 65 years,0,Male Only,1,2020,01
8,616517,156886,Alabama,All Races,0,2,<= 250% of Poverty,Under 65 years,0,Male Only,1,2020,01
9,305369,86027,Alabama,All Races,0,3,<= 138% of Poverty,Under 65 years,0,Male Only,1,2020,01
10,1000728,211639,Alabama,All Races,0,4,<= 400% of Poverty,Under 65 years,0,Male Only,1,2020,01
11,695359,125612,Alabama,All Races,0,5,138% to 400% of Poverty,Under 65 years,0,Male Only,1,2020,01
12,1779902,207844,Alabama,All Races,0,0,All Incomes,Under 65 years,0,Female Only,2,2020,01
13,592933,123513,Alabama,All Races,0,1,<= 200% of Poverty,Under 65 years,0,Female Only,2,2020,01
14,742746,144057,Alabama,All Races,0,2,<= 250% of Poverty,Under 65 years,0,Female Only,2,2020,01
15,397459,90203,Alabama,All Races,0,3,<= 138% of Poverty,Under 65 years,0,Female Only,2,2020,01
16,1140132,180546,Alabama,All Races,0,4,<= 400% of Poverty,Under 65 years,0,Female Only,2,2020,01
17,742673,90343,Alabama,All Races,0,5,138% to 400% of Poverty,Under 65 years,0,Female Only,2,2020,01
18,2232470,252256,Alabama,"White alone, not Hispanic",1,0,All Incomes,Under 65 years,0,Both Sexes,0,2020,01
19,514807,125792,Alabama,"White alone, not Hispanic",1,1,<= 200% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
20,685981,152703,Alabama,"White alone, not Hispanic",1,2,<= 250% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
21,314929,86091,Alabama,"White alone, not Hispanic",1,3,<= 138% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
22,1211685,206552,Alabama,"White alone, not Hispanic",1,4,<= 400% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
23,896756,120461,Alabama,"White alone, not Hispanic",1,5,138% to 400% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
24,1102454,136586,Alabama,"White alone, not Hispanic",1,0,All Incomes,Under 65 years,0,Male Only,1,2020,01
25,235791,62544,Alabama,"White alone, not Hispanic",1,1,<= 200% of Poverty,Under 65 years,0,Male Only,1,2020,01
26,319327,77608,Alabama,"White alone, not Hispanic",1,2,<= 250% of Poverty,Under 65 years,0,Male Only,1,2020,01
27,139906,40921,Alabama,"White alone, not Hispanic",1,3,<= 138% of Poverty,Under 65 years,0,Male Only,1,2020,01
28,581105,109381,Alabama,"White alone, not Hispanic",1,4,<= 400% of Poverty,Under 65 years,0,Male Only,1,2020,01
29,441199,68460,Alabama,"White alone, not Hispanic",1,5,138% to 400% of Poverty,Under 65 years,0,Male Only,1,2020,01
30,1130016,115670,Alabama,"White alone, not Hispanic",1,0,All Incomes,Under 65 years,0,Female Only,2,2020,01
31,279016,63248,Alabama,"White alone, not Hispanic",1,1,<= 200% of Poverty,Under 65 years,0,Female Only,2,2020,01
32,366654,75095,Alabama,"White alone, not Hispanic",1,2,<= 250% of Poverty,Under 65 years,0,Female Only,2,2020,01
33,175023,45170,Alabama,"White alone, not Hispanic",1,3,<= 138% of Poverty,Under 65 years,0,Female Only,2,2020,01
34,630580,97171,Alabama,"White alone, not Hispanic",1,4,<= 400% of Poverty,Under 65 years,0,Female Only,2,2020,01
35,455557,52001,Alabama,"White alone, not Hispanic",1,5,138% to 400% of Poverty,Under 65 years,0,Female Only,2,2020,01
36,891938,137729,Alabama,"Black alone, not Hispanic",2,0,All Incomes,Under 65 years,0,Both Sexes,0,2020,01
37,426669,83864,Alabama,"Black alone, not Hispanic",2,1,<= 200% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
38,514184,98243,Alabama,"Black alone, not Hispanic",2,2,<= 250% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
39,298037,60473,Alabama,"Black alone, not Hispanic",2,3,<= 138% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
40,704544,122807,Alabama,"Black alone, not Hispanic",2,4,<= 400% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
41,406507,62334,Alabama,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,Under 65 years,0,Both Sexes,0,2020,01
42,401996,75723,Alabama,"Black alone, not Hispanic",2,0,All Incomes,Under 65 years,0,Male Only,1,2020,01
43,182037,42821,Alabama,"Black alone, not Hispanic",2,1,<= 200% of Poverty,Under 65 years,0,Male Only,1,2020,01
44,221578,51426,Alabama,"Black alone, not Hispanic",2,2,<= 250% of Poverty,Under 65 years,0,Male Only,1,2020,01
45,123930,29517,Alabama,"Black alone, not Hispanic",2,3,<= 138% of Poverty,Under 65 years,0,Male Only,1,2020,01
46,311502,66493,Alabama,"Black alone, not Hispanic",2,4,<= 400% of Poverty,Under 65 years,0,Male Only,1,2020,01
47,187572,36976,Alabama,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,Under 65 years,0,Male Only,1,2020,01
48,489942,62006,Alabama,"Black alone, not Hispanic",2,0,All Incomes,Under 65 years,0,Female Only,2,2020,01
49,244632,41043,Alabama,"Black alone, not Hispanic",2,1,<= 200% of Poverty,Under 65 years,0,Female Only,2,2020,01
50,292606,46817,Alabama,"Black alone, not Hispanic",2,2,<= 250% of Poverty,Under 65 years,0,Female Only,2,2020,01
51,174107,30956,Alabama,"Black alone, not Hispanic",2,3,<= 138% of Poverty,Under 65 years,0,Female Only,2,2020,01
52,393042,56314,Alabama,"Black alone, not Hispanic",2,4,<= 400% of Poverty,Under 65 years,0,Female Only,2,2020,01
53,218935,25358,Alabama,"Black alone, not Hispanic",2,5,138% to 400% of Poverty,Under 65 years,0,Female Only,2,2020,01
54,159275,49758,Alabama,Hispanic (any race),3,0,All Incomes,Under 65 years,0,Both Sexes,0,2020,01
